"Step","resilient-blaze-9 - step_crash","resilient-blaze-9 - step_crash__MIN","resilient-blaze-9 - step_crash__MAX"
"9578","0","0","0"
"9582","0","0","0"
"9584","0","0","0"
"9586","0","0","0"
"9588","0","0","0"
"9590","1","1","1"
"9596","0","0","0"
"9598","0","0","0"
"9608","0","0","0"
"9614","0","0","0"
"9618","0","0","0"
"9624","0","0","0"
"9626","0","0","0"
"9628","0","0","0"
"9630","0","0","0"
"9632","0","0","0"
"9638","0","0","0"
"9656","0","0","0"
"9658","0","0","0"
"9660","0","0","0"
"9662","0","0","0"
"9664","0","0","0"
"9666","0","0","0"
"9674","0","0","0"
"9676","0","0","0"
"9678","0","0","0"
"9682","0","0","0"
"9686","0","0","0"
"9688","0","0","0"
"9690","0","0","0"
"9694","0","0","0"
"9696","0","0","0"
"9698","0","0","0"
"9704","0","0","0"
"9706","0","0","0"
"9710","1","1","1"
"9714","0","0","0"
"9716","0","0","0"
"9720","0","0","0"
"9722","0","0","0"
"9724","0","0","0"
"9726","0","0","0"
"9730","0","0","0"
"9732","0","0","0"
"9734","0","0","0"
"9738","0","0","0"
"9740","0","0","0"
"9748","0","0","0"
"9752","0","0","0"
"9754","0","0","0"
"9756","0","0","0"
"9760","0","0","0"
"9764","0","0","0"
"9766","0","0","0"
"9772","0","0","0"
"9776","0","0","0"
"9778","0","0","0"
"9782","0","0","0"
"9788","0","0","0"
"9792","0","0","0"
"9796","0","0","0"
"9798","1","1","1"
"9800","0","0","0"
"9806","0","0","0"
"9808","0","0","0"
"9818","0","0","0"
"9824","0","0","0"
"9828","0","0","0"
"9834","0","0","0"
"9836","0","0","0"
"9846","0","0","0"
"9850","0","0","0"
"9854","0","0","0"
"9858","0","0","0"
"9864","0","0","0"
"9866","0","0","0"
"9870","0","0","0"
"9878","0","0","0"
"9884","0","0","0"
"9886","0","0","0"
"9890","0","0","0"
"9894","0","0","0"
"9896","0","0","0"
"9900","0","0","0"
"9902","0","0","0"
"9906","0","0","0"
"9920","0","0","0"
"9922","0","0","0"
"9936","0","0","0"
"9944","0","0","0"
"9946","0","0","0"
"9952","1","1","1"
"9956","0","0","0"
"9958","0","0","0"
"9960","0","0","0"
"9966","0","0","0"
"9970","0","0","0"
"9980","0","0","0"
"9990","0","0","0"
"9992","0","0","0"
"10002","0","0","0"
"10008","0","0","0"
"10010","0","0","0"
"10012","0","0","0"
"10016","0","0","0"
"10018","0","0","0"
"10020","0","0","0"
"10024","0","0","0"
"10028","1","1","1"
"10030","0","0","0"
"10040","0","0","0"
"10048","0","0","0"
"10054","0","0","0"
"10058","0","0","0"
"10064","0","0","0"
"10066","0","0","0"
"10068","0","0","0"
"10070","1","1","1"
"10072","0","0","0"
"10078","0","0","0"
"10084","0","0","0"
"10086","0","0","0"
"10088","0","0","0"
"10092","1","1","1"
"10096","0","0","0"
"10116","0","0","0"
"10118","0","0","0"
"10120","0","0","0"
"10128","0","0","0"
"10130","0","0","0"
"10132","1","1","1"
"10134","0","0","0"
"10142","0","0","0"
"10144","0","0","0"
"10148","0","0","0"
"10150","0","0","0"
"10152","0","0","0"
"10154","0","0","0"
"10156","0","0","0"
"10158","0","0","0"
"10162","0","0","0"
"10168","0","0","0"
"10170","0","0","0"
"10176","0","0","0"
"10180","0","0","0"
"10182","0","0","0"
"10184","0","0","0"
"10186","0","0","0"
"10188","0","0","0"
"10190","0","0","0"
"10194","0","0","0"
"10196","0","0","0"
"10198","0","0","0"
"10206","0","0","0"
"10208","0","0","0"
"10220","0","0","0"
"10228","0","0","0"
"10238","0","0","0"
"10240","0","0","0"
"10254","0","0","0"
"10262","0","0","0"
"10268","0","0","0"
"10274","0","0","0"
"10276","0","0","0"
"10278","0","0","0"
"10284","0","0","0"
"10286","0","0","0"
"10292","0","0","0"
"10294","0","0","0"
"10298","0","0","0"
"10300","0","0","0"
"10302","0","0","0"
"10306","0","0","0"
"10308","0","0","0"
"10312","0","0","0"
"10316","0","0","0"
"10318","0","0","0"
"10322","0","0","0"
"10326","0","0","0"
"10328","0","0","0"
"10332","0","0","0"
"10334","0","0","0"
"10336","0","0","0"
"10348","0","0","0"
"10350","0","0","0"
"10354","0","0","0"
"10356","0","0","0"
"10358","0","0","0"
"10360","0","0","0"
"10362","0","0","0"
"10366","0","0","0"
"10368","0","0","0"
"10372","0","0","0"
"10378","0","0","0"
"10382","0","0","0"
"10384","0","0","0"
"10386","0","0","0"
"10388","0","0","0"
"10392","0","0","0"
"10394","0","0","0"
"10396","0","0","0"
"10398","0","0","0"
"10400","0","0","0"
"10402","0","0","0"
"10410","0","0","0"
"10416","0","0","0"
"10424","0","0","0"
"10426","0","0","0"
"10432","0","0","0"
"10438","0","0","0"
"10442","0","0","0"
"10444","0","0","0"
"10446","0","0","0"
"10448","0","0","0"
"10452","0","0","0"
"10456","0","0","0"
"10458","0","0","0"
"10460","0","0","0"
"10462","0","0","0"
"10468","0","0","0"
"10470","0","0","0"
"10474","0","0","0"
"10480","0","0","0"
"10482","0","0","0"
"10484","0","0","0"
"10488","0","0","0"
"10490","0","0","0"
"10498","0","0","0"
"10508","0","0","0"
"10510","0","0","0"
"10512","0","0","0"
"10514","0","0","0"
"10518","0","0","0"
"10522","0","0","0"
"10524","0","0","0"
"10530","0","0","0"
"10532","0","0","0"
"10534","0","0","0"
"10536","0","0","0"
"10544","0","0","0"
"10548","0","0","0"
"10552","0","0","0"
"10556","0","0","0"
"10558","0","0","0"
"10560","0","0","0"
"10562","0","0","0"
"10572","0","0","0"
"10576","0","0","0"
"10580","0","0","0"
"10586","0","0","0"
"10588","0","0","0"
"10592","0","0","0"
"10600","0","0","0"
"10604","0","0","0"
"10610","0","0","0"
"10614","0","0","0"
"10616","0","0","0"
"10618","0","0","0"
"10620","0","0","0"
"10622","0","0","0"
"10628","0","0","0"
"10636","0","0","0"
"10642","0","0","0"
"10646","0","0","0"
"10648","0","0","0"
"10652","0","0","0"
"10656","0","0","0"
"10660","0","0","0"
"10666","0","0","0"
"10670","0","0","0"
"10674","0","0","0"
"10678","0","0","0"
"10680","0","0","0"
"10684","0","0","0"
"10688","0","0","0"
"10690","0","0","0"
"10692","0","0","0"
"10698","0","0","0"
"10700","0","0","0"
"10704","0","0","0"
"10706","0","0","0"
"10708","0","0","0"
"10712","0","0","0"
"10716","0","0","0"
"10722","1","1","1"
"10726","0","0","0"
"10730","0","0","0"
"10734","0","0","0"
"10736","0","0","0"
"10740","0","0","0"
"10742","0","0","0"
"10744","0","0","0"
"10746","0","0","0"
"10754","0","0","0"
"10756","0","0","0"
"10760","0","0","0"
"10766","0","0","0"
"10768","0","0","0"
"10770","0","0","0"
"10772","0","0","0"
"10778","0","0","0"
"10780","0","0","0"
"10782","0","0","0"
"10788","0","0","0"
"10794","0","0","0"
"10796","0","0","0"
"10798","0","0","0"
"10806","0","0","0"
"10808","0","0","0"
"10810","0","0","0"
"10812","0","0","0"
"10814","0","0","0"
"10816","0","0","0"
"10818","1","1","1"
"10820","0","0","0"
"10822","0","0","0"
"10824","0","0","0"
"10828","0","0","0"
"10834","0","0","0"
"10844","0","0","0"
"10846","0","0","0"
"10850","0","0","0"
"10852","0","0","0"
"10854","0","0","0"
"10856","0","0","0"
"10858","0","0","0"
"10860","0","0","0"
"10866","0","0","0"
"10868","0","0","0"
"10870","0","0","0"
"10872","0","0","0"
"10874","0","0","0"
"10876","0","0","0"
"10878","0","0","0"
"10880","0","0","0"
"10888","0","0","0"
"10894","0","0","0"
"10896","0","0","0"
"10900","0","0","0"
"10902","0","0","0"
"10906","0","0","0"
"10908","0","0","0"
"10912","0","0","0"
"10914","0","0","0"
"10916","0","0","0"
"10918","0","0","0"
"10922","0","0","0"
"10924","0","0","0"
"10928","0","0","0"
"10940","0","0","0"
"10946","0","0","0"
"10948","0","0","0"
"10956","0","0","0"
"10960","0","0","0"
"10962","0","0","0"
"10964","0","0","0"
"10968","0","0","0"
"10970","0","0","0"
"10974","0","0","0"
"10980","0","0","0"
"10982","0","0","0"
"10984","0","0","0"
"10990","0","0","0"
"10994","0","0","0"
"11000","0","0","0"
"11004","0","0","0"
"11006","0","0","0"
"11010","0","0","0"
"11012","0","0","0"
"11014","0","0","0"
"11016","0","0","0"
"11018","0","0","0"
"11020","0","0","0"
"11022","0","0","0"
"11024","0","0","0"
"11026","0","0","0"
"11028","0","0","0"
"11030","0","0","0"
"11036","0","0","0"
"11042","0","0","0"
"11044","0","0","0"
"11046","0","0","0"
"11048","0","0","0"
"11056","0","0","0"
"11058","0","0","0"
"11062","0","0","0"
"11064","0","0","0"
"11066","0","0","0"
"11070","0","0","0"
"11076","0","0","0"
"11078","0","0","0"
"11080","0","0","0"
"11082","0","0","0"
"11084","0","0","0"
"11086","0","0","0"
"11088","0","0","0"
"11100","0","0","0"
"11104","0","0","0"
"11106","0","0","0"
"11110","0","0","0"
"11112","0","0","0"
"11114","0","0","0"
"11118","0","0","0"
"11122","0","0","0"
"11128","0","0","0"
"11132","0","0","0"
"11134","0","0","0"
"11140","0","0","0"
"11142","0","0","0"
"11144","0","0","0"
"11146","0","0","0"
"11150","0","0","0"
"11160","0","0","0"
"11162","1","1","1"
"11170","0","0","0"
"11172","0","0","0"
"11178","0","0","0"
"11180","0","0","0"
"11184","0","0","0"
"11186","0","0","0"
"11188","0","0","0"
"11194","0","0","0"
"11196","0","0","0"
"11200","1","1","1"
"11202","0","0","0"
"11212","0","0","0"
"11214","0","0","0"
"11216","0","0","0"
"11220","0","0","0"
"11224","0","0","0"
"11226","0","0","0"
"11228","0","0","0"
"11234","0","0","0"
"11238","0","0","0"
"11240","0","0","0"
"11246","0","0","0"
"11248","0","0","0"
"11254","0","0","0"
"11260","0","0","0"
"11262","0","0","0"
"11264","0","0","0"
"11272","0","0","0"
"11274","0","0","0"
"11278","0","0","0"
"11280","0","0","0"
"11282","0","0","0"
"11286","0","0","0"
"11292","0","0","0"
"11298","0","0","0"
"11300","0","0","0"
"11304","0","0","0"
"11306","0","0","0"
"11310","0","0","0"
"11314","0","0","0"
"11328","0","0","0"
"11342","0","0","0"
"11344","0","0","0"
"11348","0","0","0"
"11350","0","0","0"
"11352","0","0","0"
"11354","0","0","0"
"11362","0","0","0"
"11364","0","0","0"
"11368","0","0","0"
"11370","0","0","0"
"11374","0","0","0"
"11376","0","0","0"
"11378","0","0","0"
"11386","0","0","0"
"11392","0","0","0"
"11396","0","0","0"
"11398","0","0","0"
"11400","0","0","0"
"11404","0","0","0"
"11406","0","0","0"
"11410","0","0","0"
"11412","0","0","0"
"11420","0","0","0"
"11422","0","0","0"
"11424","0","0","0"
"11428","0","0","0"
"11434","0","0","0"
"11436","0","0","0"
"11438","0","0","0"
"11440","0","0","0"
"11442","0","0","0"
"11444","0","0","0"
"11456","0","0","0"
"11460","0","0","0"
"11462","0","0","0"
"11464","0","0","0"
"11466","0","0","0"
"11468","0","0","0"
"11470","0","0","0"
"11472","0","0","0"
"11474","0","0","0"
"11476","0","0","0"
"11478","0","0","0"
"11480","0","0","0"
"11486","0","0","0"
"11492","0","0","0"
"11494","0","0","0"
"11496","0","0","0"
"11506","0","0","0"
"11514","0","0","0"
"11516","0","0","0"
"11518","0","0","0"
"11520","0","0","0"
"11524","0","0","0"
"11528","0","0","0"
"11534","0","0","0"
"11538","0","0","0"
"11540","0","0","0"
"11542","0","0","0"
"11544","0","0","0"
"11546","0","0","0"
"11548","0","0","0"
"11550","0","0","0"
"11556","0","0","0"
"11558","0","0","0"
"11562","0","0","0"
"11564","0","0","0"
"11566","0","0","0"
"11568","0","0","0"
"11572","0","0","0"
"11574","0","0","0"
"11582","0","0","0"
"11584","0","0","0"
"11586","0","0","0"
"11594","0","0","0"
"11602","0","0","0"
"11604","0","0","0"
"11606","0","0","0"
"11608","0","0","0"
"11610","0","0","0"
"11614","0","0","0"
"11624","0","0","0"
"11628","0","0","0"
"11630","0","0","0"
"11634","0","0","0"
"11636","0","0","0"
"11640","0","0","0"
"11656","0","0","0"
"11658","0","0","0"
"11660","0","0","0"
"11664","0","0","0"
"11666","0","0","0"
"11668","0","0","0"
"11670","0","0","0"
"11672","0","0","0"
"11674","0","0","0"
"11676","0","0","0"
"11680","0","0","0"
"11686","0","0","0"
"11688","0","0","0"
"11690","0","0","0"
"11692","0","0","0"
"11694","0","0","0"
"11696","0","0","0"
"11700","0","0","0"
"11706","0","0","0"
"11708","0","0","0"
"11712","0","0","0"
"11718","0","0","0"
"11720","0","0","0"
"11726","0","0","0"
"11728","0","0","0"
"11736","1","1","1"
"11738","0","0","0"
"11740","0","0","0"
"11746","1","1","1"
"11748","0","0","0"
"11756","0","0","0"
"11758","0","0","0"
"11764","0","0","0"
"11772","0","0","0"
"11774","0","0","0"
"11778","0","0","0"
"11780","0","0","0"
"11782","0","0","0"
"11786","0","0","0"
"11796","0","0","0"
"11802","0","0","0"
"11812","0","0","0"
"11814","0","0","0"
"11818","0","0","0"
"11828","0","0","0"
"11830","0","0","0"
"11834","0","0","0"
"11840","0","0","0"
"11842","0","0","0"
"11844","0","0","0"
"11856","0","0","0"
"11858","0","0","0"
"11864","0","0","0"
"11870","0","0","0"
"11874","0","0","0"
"11884","1","1","1"
"11886","0","0","0"
"11888","1","1","1"
"11890","1","1","1"
"11892","0","0","0"
"11900","0","0","0"
"11902","0","0","0"
"11904","0","0","0"
"11910","0","0","0"
"11912","0","0","0"
"11922","0","0","0"
"11926","0","0","0"
"11928","1","1","1"
"11932","0","0","0"
"11934","0","0","0"
"11940","0","0","0"
"11942","0","0","0"
"11944","0","0","0"
"11956","0","0","0"
"11958","0","0","0"
"11960","0","0","0"
"11970","0","0","0"
"11972","0","0","0"
"11974","0","0","0"
"11980","0","0","0"
"11982","0","0","0"
"11986","0","0","0"
"11990","0","0","0"
"11994","0","0","0"
"11996","0","0","0"
"12000","1","1","1"
"12002","0","0","0"
"12010","0","0","0"
"12014","0","0","0"
"12016","0","0","0"
"12020","0","0","0"
"12022","0","0","0"
"12028","0","0","0"
"12040","0","0","0"
"12042","0","0","0"
"12046","0","0","0"
"12048","0","0","0"
"12056","0","0","0"
"12058","0","0","0"
"12062","0","0","0"
"12064","0","0","0"
"12066","0","0","0"
"12070","0","0","0"
"12076","0","0","0"
"12078","0","0","0"
"12082","0","0","0"
"12084","0","0","0"
"12086","0","0","0"
"12088","0","0","0"
"12092","0","0","0"
"12094","0","0","0"
"12096","0","0","0"
"12108","0","0","0"
"12112","0","0","0"
"12116","0","0","0"
"12118","0","0","0"
"12120","0","0","0"
"12124","0","0","0"
"12132","0","0","0"
"12138","0","0","0"
"12144","0","0","0"
"12146","0","0","0"
"12148","0","0","0"
"12150","0","0","0"
"12154","0","0","0"
"12156","0","0","0"
"12166","0","0","0"
"12168","0","0","0"
"12170","0","0","0"
"12176","0","0","0"
"12178","0","0","0"
"12184","0","0","0"
"12186","0","0","0"
"12188","0","0","0"
"12192","0","0","0"
"12194","0","0","0"
"12196","0","0","0"
"12198","0","0","0"
"12202","0","0","0"
"12206","0","0","0"
"12210","0","0","0"
"12212","0","0","0"
"12214","1","1","1"
"12216","0","0","0"
"12222","0","0","0"
"12226","0","0","0"
"12230","0","0","0"
"12232","0","0","0"
"12236","0","0","0"
"12240","0","0","0"
"12242","0","0","0"
"12244","0","0","0"
"12246","0","0","0"
"12248","0","0","0"
"12250","0","0","0"
"12258","0","0","0"
"12260","0","0","0"
"12262","0","0","0"
"12264","0","0","0"
"12266","0","0","0"
"12272","0","0","0"
"12280","0","0","0"
"12282","0","0","0"
"12284","0","0","0"
"12286","0","0","0"
"12294","0","0","0"
"12298","0","0","0"
"12304","0","0","0"
"12306","0","0","0"
"12314","0","0","0"
"12318","0","0","0"
"12320","0","0","0"
"12322","0","0","0"
"12324","0","0","0"
"12330","0","0","0"
"12332","1","1","1"
"12334","0","0","0"
"12336","0","0","0"
"12338","0","0","0"
"12340","0","0","0"
"12342","0","0","0"
"12346","0","0","0"
"12348","0","0","0"
"12350","0","0","0"
"12354","0","0","0"
"12356","0","0","0"
"12358","0","0","0"
"12360","0","0","0"
"12362","0","0","0"
"12366","0","0","0"
"12368","0","0","0"
"12370","0","0","0"
"12374","0","0","0"
"12376","0","0","0"
"12380","0","0","0"
"12382","0","0","0"
"12386","0","0","0"
"12390","0","0","0"
"12394","0","0","0"
"12400","0","0","0"
"12402","0","0","0"
"12404","0","0","0"
"12408","0","0","0"
"12410","0","0","0"
"12412","0","0","0"
"12416","0","0","0"
"12420","0","0","0"
"12424","0","0","0"
"12428","1","1","1"
"12432","0","0","0"
"12438","0","0","0"
"12444","0","0","0"
"12448","0","0","0"
"12452","0","0","0"
"12458","0","0","0"
"12460","0","0","0"
"12464","1","1","1"
"12476","0","0","0"
"12482","0","0","0"
"12496","0","0","0"
"12498","0","0","0"
"12502","0","0","0"
"12508","0","0","0"
"12512","0","0","0"
"12514","0","0","0"
"12516","0","0","0"
"12520","0","0","0"
"12522","0","0","0"
"12526","0","0","0"
"12528","0","0","0"
"12530","0","0","0"
"12542","0","0","0"
"12548","0","0","0"
"12554","0","0","0"
"12560","0","0","0"
"12568","0","0","0"
"12578","0","0","0"
"12580","0","0","0"
"12582","0","0","0"
"12584","0","0","0"
"12586","0","0","0"
"12588","0","0","0"
"12594","0","0","0"
"12596","0","0","0"
"12602","0","0","0"
"12604","0","0","0"
"12608","0","0","0"
"12618","0","0","0"
"12620","0","0","0"
"12628","0","0","0"
"12630","0","0","0"
"12632","0","0","0"
"12634","0","0","0"
"12638","0","0","0"
"12642","0","0","0"
"12646","0","0","0"
"12648","0","0","0"
"12662","0","0","0"
"12664","0","0","0"
"12666","0","0","0"
"12670","0","0","0"
"12676","0","0","0"
"12678","0","0","0"
"12680","0","0","0"
"12682","0","0","0"
"12686","0","0","0"
"12690","0","0","0"
"12700","0","0","0"
"12712","0","0","0"
"12714","0","0","0"
"12726","0","0","0"
"12728","0","0","0"
"12734","0","0","0"
"12742","0","0","0"
"12758","0","0","0"
"12760","0","0","0"
"12768","0","0","0"
"12770","0","0","0"
"12774","0","0","0"
"12778","0","0","0"
"12780","0","0","0"
"12784","0","0","0"
"12786","0","0","0"
"12788","0","0","0"
"12792","0","0","0"
"12798","0","0","0"
"12800","0","0","0"
"12802","0","0","0"
"12804","0","0","0"
"12824","0","0","0"
"12828","0","0","0"
"12834","0","0","0"
"12836","0","0","0"
"12838","0","0","0"
"12840","0","0","0"
"12846","0","0","0"
"12848","0","0","0"
"12852","0","0","0"
"12856","0","0","0"
"12858","0","0","0"
"12860","0","0","0"
"12862","0","0","0"
"12864","0","0","0"
"12866","0","0","0"
"12868","0","0","0"
"12872","0","0","0"
"12874","0","0","0"
"12876","0","0","0"
"12880","0","0","0"
"12882","0","0","0"
"12884","0","0","0"
"12888","0","0","0"
"12908","0","0","0"
"12910","0","0","0"
"12912","0","0","0"
"12916","0","0","0"
"12920","0","0","0"
"12926","0","0","0"
"12928","0","0","0"
"12932","0","0","0"
"12934","0","0","0"
"12936","0","0","0"
"12938","0","0","0"
"12940","0","0","0"
"12944","0","0","0"
"12950","0","0","0"
"12956","0","0","0"
"12960","0","0","0"
"12964","0","0","0"
"12966","0","0","0"
"12984","0","0","0"
"12988","0","0","0"
"12990","0","0","0"
"12992","0","0","0"
"12996","0","0","0"
"13000","0","0","0"
"13008","0","0","0"
"13010","0","0","0"
"13012","1","1","1"
"13020","0","0","0"
"13022","0","0","0"
"13024","0","0","0"
"13034","0","0","0"
"13042","0","0","0"
"13052","0","0","0"
"13054","0","0","0"
"13056","0","0","0"
"13064","0","0","0"
"13068","0","0","0"
"13070","0","0","0"
"13072","0","0","0"
"13078","0","0","0"
"13084","0","0","0"
"13094","0","0","0"
"13096","0","0","0"
"13102","0","0","0"
"13104","0","0","0"
"13106","0","0","0"
"13116","0","0","0"
"13118","0","0","0"
"13120","0","0","0"
"13122","0","0","0"
"13126","0","0","0"
"13134","0","0","0"
"13136","0","0","0"
"13140","0","0","0"
"13148","0","0","0"
"13150","0","0","0"
"13154","0","0","0"
"13158","0","0","0"
"13164","0","0","0"
"13170","0","0","0"
"13174","0","0","0"
"13176","0","0","0"
"13178","0","0","0"
"13180","0","0","0"
"13184","0","0","0"
"13186","0","0","0"
"13188","0","0","0"
"13190","0","0","0"
"13192","0","0","0"
"13200","0","0","0"
"13204","0","0","0"
"13206","0","0","0"
"13212","1","1","1"
"13216","0","0","0"
"13222","0","0","0"
"13226","0","0","0"
"13228","0","0","0"
"13236","0","0","0"
"13244","0","0","0"
"13246","0","0","0"
"13248","0","0","0"
"13250","0","0","0"
"13258","0","0","0"
"13260","0","0","0"
"13264","0","0","0"
"13266","0","0","0"
"13268","0","0","0"
"13272","0","0","0"
"13276","0","0","0"
"13284","0","0","0"
"13288","0","0","0"
"13290","0","0","0"
"13300","0","0","0"
"13302","0","0","0"
"13306","0","0","0"
"13312","0","0","0"
"13316","0","0","0"
"13324","0","0","0"
"13326","0","0","0"
"13328","0","0","0"
"13330","0","0","0"
"13332","0","0","0"
"13334","0","0","0"
"13342","0","0","0"
"13344","0","0","0"
"13346","0","0","0"
"13348","0","0","0"
"13352","0","0","0"
"13354","0","0","0"
"13356","0","0","0"
"13358","0","0","0"
"13368","0","0","0"
"13374","0","0","0"
"13376","0","0","0"
"13378","0","0","0"
"13380","0","0","0"
"13384","0","0","0"
"13390","0","0","0"
"13392","0","0","0"
"13394","0","0","0"
"13400","0","0","0"
"13402","0","0","0"
"13406","0","0","0"
"13410","0","0","0"
"13412","0","0","0"
"13414","0","0","0"
"13420","0","0","0"
"13422","0","0","0"
"13428","0","0","0"
"13442","0","0","0"
"13446","0","0","0"
"13450","0","0","0"
"13452","0","0","0"
"13454","0","0","0"
"13456","0","0","0"
"13466","0","0","0"
"13468","0","0","0"
"13472","0","0","0"
"13476","0","0","0"
"13478","0","0","0"
"13480","0","0","0"
"13484","0","0","0"
"13490","0","0","0"
"13496","0","0","0"
"13498","0","0","0"
"13508","0","0","0"
"13510","0","0","0"
"13514","0","0","0"
"13518","0","0","0"
"13520","0","0","0"
"13524","0","0","0"
"13528","0","0","0"
"13534","0","0","0"
"13536","0","0","0"
"13540","0","0","0"
"13542","0","0","0"
"13544","0","0","0"
"13554","0","0","0"
"13558","0","0","0"
"13560","0","0","0"
"13564","0","0","0"
"13566","0","0","0"
"13568","0","0","0"
"13572","0","0","0"
"13574","0","0","0"
"13578","0","0","0"
"13580","0","0","0"
"13582","0","0","0"
"13586","0","0","0"
"13588","0","0","0"
"13592","0","0","0"
"13598","0","0","0"
"13602","0","0","0"
"13610","0","0","0"
"13612","0","0","0"
"13614","0","0","0"
"13618","0","0","0"
"13622","0","0","0"
"13624","0","0","0"
"13626","0","0","0"
"13628","0","0","0"
"13634","0","0","0"
"13638","0","0","0"
"13642","0","0","0"
"13652","0","0","0"
"13658","0","0","0"
"13662","0","0","0"
"13666","0","0","0"
"13668","0","0","0"
"13678","0","0","0"
"13680","0","0","0"
"13682","0","0","0"
"13684","0","0","0"
"13686","0","0","0"
"13690","0","0","0"
"13692","0","0","0"
"13696","0","0","0"
"13698","0","0","0"
"13702","0","0","0"
"13704","0","0","0"
"13712","0","0","0"
"13714","0","0","0"
"13716","0","0","0"
"13718","0","0","0"
"13720","0","0","0"
"13722","0","0","0"
"13724","1","1","1"
"13726","0","0","0"
"13728","0","0","0"
"13732","0","0","0"
"13736","0","0","0"
"13738","0","0","0"
"13740","0","0","0"
"13744","0","0","0"
"13754","0","0","0"
"13758","0","0","0"
"13764","0","0","0"
"13766","0","0","0"
"13768","0","0","0"
"13770","0","0","0"
"13774","1","1","1"
"13778","0","0","0"
"13780","0","0","0"
"13782","0","0","0"
"13784","0","0","0"
"13802","0","0","0"
"13804","0","0","0"
"13810","0","0","0"
"13812","0","0","0"
"13816","0","0","0"
"13818","0","0","0"
"13820","0","0","0"
"13826","0","0","0"
"13828","0","0","0"
"13834","0","0","0"
"13836","0","0","0"
"13840","0","0","0"
"13842","0","0","0"
"13846","0","0","0"
"13848","0","0","0"
"13852","0","0","0"
"13858","0","0","0"
"13864","0","0","0"
"13866","0","0","0"
"13868","0","0","0"
"13874","0","0","0"
"13880","0","0","0"
"13884","0","0","0"
"13886","0","0","0"
"13888","0","0","0"
"13892","0","0","0"
"13894","0","0","0"
"13898","0","0","0"
"13900","0","0","0"
"13908","0","0","0"
"13914","0","0","0"
"13916","0","0","0"
"13920","0","0","0"
"13922","0","0","0"
"13924","1","1","1"
"13928","1","1","1"
"13930","0","0","0"
"13934","0","0","0"
"13936","0","0","0"
"13942","0","0","0"
"13948","0","0","0"
"13952","0","0","0"
"13954","0","0","0"
"13958","0","0","0"
"13960","0","0","0"
"13964","0","0","0"
"13966","0","0","0"
"13968","0","0","0"
"13970","0","0","0"
"13972","0","0","0"
"13976","0","0","0"
"13978","0","0","0"
"13988","0","0","0"
"13990","0","0","0"
"13992","0","0","0"
"13996","0","0","0"
"14004","0","0","0"
"14006","0","0","0"
"14008","0","0","0"
"14016","0","0","0"
"14022","0","0","0"
"14024","0","0","0"
"14028","0","0","0"
"14030","0","0","0"
"14032","0","0","0"
"14036","0","0","0"
"14042","0","0","0"
"14044","0","0","0"
"14046","0","0","0"
"14052","0","0","0"
"14056","0","0","0"
"14058","0","0","0"
"14060","1","1","1"
"14064","0","0","0"
"14066","0","0","0"
"14076","0","0","0"
"14078","0","0","0"
"14080","0","0","0"
"14086","0","0","0"
"14088","0","0","0"
"14090","0","0","0"
"14092","0","0","0"
"14094","0","0","0"
"14098","0","0","0"
"14104","0","0","0"
"14120","0","0","0"
"14122","0","0","0"
"14130","0","0","0"
"14132","0","0","0"
"14134","0","0","0"
"14142","0","0","0"
"14144","0","0","0"
"14156","0","0","0"
"14158","0","0","0"
"14162","0","0","0"
"14164","0","0","0"
"14166","0","0","0"
"14168","0","0","0"
"14170","0","0","0"
"14172","0","0","0"
"14184","0","0","0"
"14194","0","0","0"
"14196","0","0","0"
"14202","0","0","0"
"14204","0","0","0"
"14212","0","0","0"
"14222","0","0","0"
"14224","0","0","0"
"14226","0","0","0"
"14230","0","0","0"
"14234","0","0","0"
"14236","0","0","0"
"14238","0","0","0"
"14240","0","0","0"
"14244","0","0","0"
"14252","0","0","0"
"14258","0","0","0"
"14260","0","0","0"
"14262","0","0","0"
"14266","0","0","0"
"14274","0","0","0"
"14278","0","0","0"
"14284","0","0","0"
"14286","0","0","0"
"14290","0","0","0"
"14292","0","0","0"
"14304","0","0","0"
"14306","0","0","0"
"14312","0","0","0"
"14316","0","0","0"
"14318","0","0","0"
"14320","0","0","0"
"14322","0","0","0"
"14334","0","0","0"
"14342","0","0","0"
"14348","0","0","0"
"14350","0","0","0"
"14366","0","0","0"
"14368","0","0","0"
"14370","0","0","0"
"14372","0","0","0"
"14382","0","0","0"
"14384","0","0","0"
"14386","0","0","0"
"14392","0","0","0"
"14394","0","0","0"
"14400","0","0","0"
"14414","0","0","0"
"14416","0","0","0"
"14422","0","0","0"
"14424","0","0","0"
"14426","0","0","0"
"14428","0","0","0"
"14430","0","0","0"
"14432","0","0","0"
"14436","0","0","0"
"14446","0","0","0"
"14448","0","0","0"
"14450","0","0","0"
"14454","0","0","0"
"14456","0","0","0"
"14460","0","0","0"
"14466","0","0","0"
"14470","0","0","0"
"14472","0","0","0"
"14478","0","0","0"
"14480","0","0","0"
"14482","0","0","0"
"14486","0","0","0"
"14492","0","0","0"
"14494","0","0","0"
"14496","0","0","0"
"14500","0","0","0"
"14506","0","0","0"
"14514","0","0","0"
"14516","0","0","0"
"14522","0","0","0"
"14528","0","0","0"
"14530","0","0","0"
"14532","0","0","0"
"14536","0","0","0"
"14540","0","0","0"
"14544","0","0","0"
"14548","0","0","0"
"14552","0","0","0"
"14554","0","0","0"
"14558","0","0","0"
"14562","0","0","0"
